# step Epot T p V 
0 -4685.3495 0.0 6516.2604 23823.124 
5000 -5155.0627 286.9561 652.885 23128.7421 
10000 -5187.9848 301.7819 112.5446 22570.4996 
15000 -5199.1043 297.9407 -52.5968 23091.3869 
20000 -5182.2054 292.9894 538.0144 22528.8601 
25000 -5262.2276 306.3825 -727.9218 22897.2934 
30000 -5264.6449 301.62 -46.2852 22550.6723 
35000 -5255.2711 294.644 -7.8717 22302.556 
40000 -5273.4909 302.8972 -630.7297 22767.2229 
45000 -5218.7382 292.8024 -310.5829 22573.0059 
50000 -5182.1684 283.2455 211.4458 22533.5949 
55000 -5152.8113 297.7222 458.9687 22661.5989 
60000 -5138.6376 297.7459 -987.2252 23299.6341 
65000 -5095.5309 296.6157 -793.8366 23479.9253 
70000 -5223.8338 291.3216 -504.0461 22862.0359 
75000 -5228.1897 297.8575 -615.8021 22590.8189 
80000 -5237.439 304.5243 -649.9787 22793.4839 
85000 -5214.0537 299.7152 -532.2048 22853.4648 
90000 -5238.8621 293.3471 -614.0929 22680.2545 
95000 -5188.0204 300.8778 -617.0583 23009.8227 
100000 -5224.8632 303.5216 -345.1613 22848.6182 
105000 -5214.1326 295.7947 82.5451 22643.7389 
110000 -5166.2846 297.6797 90.121 22699.7848 
115000 -5243.5229 297.9333 -286.6888 22440.2512 
120000 -5235.0453 301.2751 66.1104 22445.6412 
125000 -5156.4434 303.3636 -776.7391 22674.5648 
130000 -5232.183 288.9534 -140.0544 22881.198 
135000 -5273.8164 301.9262 326.5712 22487.0329 
140000 -5210.5419 306.4476 623.1335 22282.1425 
145000 -5249.084 301.841 -600.83 22996.959 
150000 -5226.2157 296.9919 496.01 22488.3131 
155000 -5257.3206 294.3007 -465.1166 22678.5012 
160000 -5236.5633 312.7187 -537.184 22686.887 
165000 -5221.2775 286.7988 -141.525 22565.4547 
170000 -5173.7509 300.2624 8.7341 22793.7048 
175000 -5197.6864 300.5117 179.1733 22627.0419 
180000 -5236.1815 290.254 293.1916 22503.9051 
185000 -5209.5051 290.3766 -336.3441 22737.3529 
190000 -5241.804 307.4248 -367.0619 22910.1521 
195000 -5173.3179 301.7073 -368.0667 22880.4195 
200000 -5280.0795 305.0248 -153.8881 22528.2089 
205000 -5163.5129 314.56 -85.8621 22976.2298 
210000 -5195.393 310.0437 -290.0694 22752.2945 
215000 -5176.0528 295.3575 146.569 22739.2073 
220000 -5156.051 293.9105 -642.5473 22781.3094 
225000 -5179.7168 292.8703 139.1015 22666.619 
230000 -5272.4786 303.4652 413.8863 22358.4887 
235000 -5198.1571 292.4385 -374.4156 22633.8087 
240000 -5164.9911 291.5046 -781.1092 22550.2194 
245000 -5225.5254 300.3846 -610.0505 22831.7939 
250000 -5238.7484 298.6974 -423.9661 22695.4509 
255000 -5271.2181 306.6196 -372.483 22602.5933 
260000 -5249.6411 304.1002 -495.1724 22648.8001 
265000 -5169.2915 305.3212 -307.111 23042.3959 
270000 -5150.7332 298.5473 -677.157 23034.2014 
275000 -5142.5655 283.2963 -338.5034 22634.8665 
280000 -5206.0098 306.3766 350.0619 22458.0923 
285000 -5157.5829 295.9875 -466.0286 22925.1829 
290000 -5209.363 290.0729 -263.4076 22692.4354 
295000 -5199.2719 305.6902 466.6902 22548.5442 
300000 -5201.0748 298.703 -423.6523 22723.9246 
305000 -5190.3278 285.745 -497.7814 22447.8482 
310000 -5226.5215 308.8074 -481.6954 22867.1789 
315000 -5123.4855 294.0873 352.8081 22938.6234 
320000 -5199.7556 302.4211 -1270.7393 22769.955 
325000 -5242.2981 302.5601 892.6991 22454.6824 
330000 -5229.5147 298.6322 229.9178 22488.3022 
335000 -5158.7763 290.4211 -1183.4963 23298.5773 
340000 -5202.4234 286.8501 -495.508 22751.9873 
345000 -5241.5168 291.6971 -1161.3656 22800.2701 
350000 -5233.5135 292.1796 -496.2302 22853.0828 
355000 -5248.3359 308.6255 -228.5608 22432.8766 
360000 -5229.4282 291.129 -544.6066 22626.2088 
365000 -5180.1219 287.935 -1053.5216 22843.3372 
370000 -5201.4207 297.4985 24.1909 22901.4289 
375000 -5153.7175 312.414 -29.4033 23102.3194 
380000 -5189.1906 311.1118 -1037.1262 22753.1001 
385000 -5204.8396 306.802 443.9524 22537.5882 
390000 -5228.2634 300.9456 -522.7431 22645.7758 
395000 -5197.8929 294.7465 447.1278 22527.4792 
400000 -5173.9962 298.4458 -265.8939 22663.6932 
405000 -5222.9468 289.5531 -98.4927 22635.2445 
410000 -5213.8163 311.9899 145.4955 22544.2647 
415000 -5221.9399 302.4777 51.9388 22593.0035 
420000 -5217.89 309.3768 -174.4761 22589.3112 
425000 -5118.3011 281.9652 -172.7536 22887.8558 
430000 -5214.8272 307.4763 -195.654 22469.9771 
435000 -5181.9902 313.0491 -532.7118 23089.173 
440000 -5137.6416 296.2666 -380.0551 22793.4159 
445000 -5142.1 302.3489 31.1888 22750.0364 
450000 -5176.6744 305.2237 -383.4274 22672.3504 
455000 -5207.407 284.45 -761.9332 22696.5722 
460000 -5235.5961 308.7702 -156.4774 22304.4218 
465000 -5244.0016 296.6101 -652.9208 22416.5833 
470000 -5186.604 301.9427 -905.9585 22824.3682 
475000 -5130.7969 318.3267 598.0169 22721.5427 
480000 -5213.5096 310.8442 110.1014 22686.8976 
485000 -5185.7056 311.8385 237.562 22855.761 
490000 -5204.3807 301.5843 -344.8873 22653.9927 
495000 -5173.3031 295.5046 -846.3604 22843.9638 
500000 -5238.8805 297.8216 296.0876 22681.3476 
