ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6261       775.2766         0.0000         0.0000         0.0000          -4685.3495         0.0000     -4685.3495     -4684.5915         0.0000           6516.2604      6528.3380     23823.1240      6516.2604      6528.3380
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5692.3463       537.2836         0.0000         0.0000       903.2549          -4251.8078       286.9561     -5155.0627     -4250.6472       278.4285            652.8850       662.2616     23128.7421      -169.0378      -168.9369
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5611.0172       423.0324         0.0000         0.0000       949.9219          -4238.0629       301.7819     -5187.9848     -4235.3997       298.2527            112.5446       124.2812     22570.4996      -128.8246      -128.7523
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5638.2428       439.1385         0.0000         0.0000       937.8312          -4261.2731       297.9407     -5199.1043     -4258.8493       300.5461            -52.5968       -24.7618     23091.3869      -175.5567      -175.4799
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5628.6404       446.4350         0.0000         0.0000       922.2459          -4259.9595       292.9894     -5182.2054     -4257.7937       295.9306            538.0144       557.1124     22528.8601      -234.8840      -234.8171
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5642.9770       380.7494         0.0000         0.0000       964.4036          -4297.8241       306.3825     -5262.2276     -4296.2570       298.6667           -727.9218      -705.1617     22897.2934      -215.8952      -216.0164
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5705.8532       441.2083         0.0000         0.0000       949.4125          -4315.2324       301.6200     -5264.6449     -4312.8050       300.0950            -46.2852       -23.3617     22550.6723      -237.7208      -237.7291
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5665.2871       410.0160         0.0000         0.0000       927.4542          -4327.8169       294.6440     -5255.2711     -4325.1734       294.5264             -7.8717         7.7158     22302.5560      -209.8266      -209.8994
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5660.1441       386.6532         0.0000         0.0000       953.4327          -4320.0583       302.8972     -5273.4909     -4316.7999       299.1255           -630.7297      -618.2235     22767.2229      -265.0549      -265.0500
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5611.2691       392.5308         0.0000         0.0000       921.6572          -4297.0810       292.8024     -5218.7382     -4296.1264       300.1302           -310.5829      -281.4500     22573.0059      -247.0768      -247.1274
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5592.7839       410.6155         0.0000         0.0000       891.5748          -4290.5935       283.2455     -5182.1684     -4288.3673       299.0330            211.4458       217.5591     22533.5949      -204.3732      -204.4914
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5593.2812       440.4698         0.0000         0.0000       937.1434          -4215.6679       297.7222     -5152.8113     -4213.5286       300.9128            458.9687       477.4931     22661.5989      -189.7422      -189.7829
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5485.7560       347.1184         0.0000         0.0000       937.2178          -4201.4198       297.7459     -5138.6376     -4201.2303       298.7345           -987.2252      -968.8129     23299.6341      -307.7811      -307.8151
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5456.4108       360.8798         0.0000         0.0000       933.6604          -4161.8705       296.6157     -5095.5309     -4160.4710       306.9225           -793.8366      -757.9158     23479.9253      -274.2173      -274.1192
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5618.1044       394.2706         0.0000         0.0000       916.9960          -4306.8378       291.3216     -5223.8338     -4305.9307       299.3005           -504.0461      -476.4049     22862.0359      -296.2818      -296.2170
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5588.4530       360.2633         0.0000         0.0000       937.5693          -4290.6204       297.8575     -5228.1897     -4287.9098       294.0349           -615.8021      -592.5838     22590.8189      -267.1157      -266.8403
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5614.0900       376.6510         0.0000         0.0000       958.5545          -4278.8845       304.5243     -5237.4390     -4277.5681       295.0547           -649.9787      -636.6196     22793.4839      -215.0487      -215.1358
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5610.6259       396.5722         0.0000         0.0000       943.4168          -4270.6369       299.7152     -5214.0537     -4267.5309       298.3352           -532.2048      -523.4035     22853.4648      -221.6345      -221.6996
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5616.5674       377.7053         0.0000         0.0000       923.3718          -4315.4903       293.3471     -5238.8621     -4312.9411       298.5359           -614.0929      -591.5982     22680.2545      -182.7904      -182.7367
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5584.6319       396.6115         0.0000         0.0000       947.0761          -4240.9442       300.8778     -5188.0204     -4238.2357       296.3973           -617.0583      -588.0628     23009.8227      -274.1656      -274.2613
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5604.1323       379.2691         0.0000         0.0000       955.3982          -4269.4649       303.5216     -5224.8632     -4266.0117       297.0272           -345.1613      -316.1936     22848.6182      -256.8773      -256.9709
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5618.4552       404.3226         0.0000         0.0000       931.0762          -4283.0563       295.7947     -5214.1326     -4281.8541       297.9440             82.5451        82.4728     22643.7389      -184.4462      -184.4818
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5596.4224       430.1377         0.0000         0.0000       937.0095          -4229.2752       297.6797     -5166.2846     -4226.3227       298.7435             90.1210       111.7132     22699.7848      -223.6399      -223.6301
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5642.1841       398.6612         0.0000         0.0000       937.8079          -4305.7150       297.9333     -5243.5229     -4303.1427       294.8913           -286.6888      -264.7340     22440.2512      -217.2574      -217.2009
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5627.7041       392.6588         0.0000         0.0000       948.3268          -4286.7185       301.2751     -5235.0453     -4284.6915       296.3428             66.1104        81.6279     22445.6412      -196.6789      -196.7819
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5508.4661       352.0227         0.0000         0.0000       954.9009          -4201.5425       303.3636     -5156.4434     -4200.2965       299.9607           -776.7391      -766.4540     22674.5648      -265.0546      -264.8907
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5677.8310       445.6479         0.0000         0.0000       909.5418          -4322.6413       288.9534     -5232.1830     -4320.2790       298.9406           -140.0544      -103.2022     22881.1980      -203.0467      -203.0802
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5699.3047       425.4883         0.0000         0.0000       950.3764          -4323.4400       301.9262     -5273.8164     -4321.6180       297.4248            326.5712       350.3300     22487.0329      -256.0685      -256.1496
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5622.8908       412.3489         0.0000         0.0000       964.6082          -4245.9337       306.4476     -5210.5419     -4244.4546       295.7584            623.1335       645.8618     22282.1425      -217.6195      -217.4742
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5648.1832       399.0992         0.0000         0.0000       950.1082          -4298.9757       301.8410     -5249.0840     -4295.8135       300.5634           -600.8300      -589.5732     22996.9590      -250.1496      -250.0251
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5654.1738       427.9580         0.0000         0.0000       934.8447          -4291.3711       296.9919     -5226.2157     -4288.2510       298.8898            496.0100       505.7337     22488.3131      -200.2249      -200.1436
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5658.9383       401.6177         0.0000         0.0000       926.3733          -4330.9473       294.3007     -5257.3206     -4327.2220       295.7918           -465.1166      -442.5471     22678.5012      -283.8353      -283.8406
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5621.4535       384.8902         0.0000         0.0000       984.3481          -4252.2152       312.7187     -5236.5633     -4249.8602       295.1768           -537.1840      -510.4756     22686.8870      -154.4528      -154.3064
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5598.2245       376.9470         0.0000         0.0000       902.7597          -4318.5178       286.7988     -5221.2775     -4316.5510       298.2500           -141.5250      -129.5102     22565.4547      -232.7304      -232.7095
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5561.0859       387.3350         0.0000         0.0000       945.1391          -4228.6118       300.2624     -5173.7509     -4226.6177       298.3515              8.7341        51.6522     22793.7048      -173.8184      -174.1075
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5611.6198       413.9334         0.0000         0.0000       945.9240          -4251.7625       300.5117     -5197.6864     -4248.9482       298.9041            179.1733       205.8708     22627.0419      -181.2448      -181.2439
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5647.9806       411.7991         0.0000         0.0000       913.6356          -4322.5459       290.2540     -5236.1815     -4320.6818       301.9919            293.1916       329.3496     22503.9051      -185.6341      -185.4924
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5587.9434       378.4383         0.0000         0.0000       914.0213          -4295.4838       290.3766     -5209.5051     -4293.6921       295.9389           -336.3441      -314.6152     22737.3529      -247.0820      -247.1040
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5658.5958       416.7917         0.0000         0.0000       967.6843          -4274.1198       307.4248     -5241.8040     -4271.4840       298.5028           -367.0619      -358.4454     22910.1521      -194.9496      -194.7052
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5567.5624       394.2445         0.0000         0.0000       949.6874          -4223.6305       301.7073     -5173.3179     -4220.8641       299.9439           -368.0667      -354.4660     22880.4195      -201.7875      -201.8459
ENERGY:  200000         0.0000         0.0000         0.0000         0.0000          -5692.6560       412.5765         0.0000         0.0000       960.1297          -4319.9498       305.0248     -5280.0795     -4318.7998       294.6083           -153.8881      -124.0762     22528.2089      -187.4820      -187.4685
ENERGY:  205000         0.0000         0.0000         0.0000         0.0000          -5582.0166       418.5036         0.0000         0.0000       990.1440          -4173.3689       314.5600     -5163.5129     -4172.6293       301.1151            -85.8621       -71.1859     22976.2298      -283.7703      -283.8877
ENERGY:  210000         0.0000         0.0000         0.0000         0.0000          -5582.9899       387.5969         0.0000         0.0000       975.9279          -4219.4651       310.0437     -5195.3930     -4216.3304       303.9613           -290.0694      -256.9137     22752.2945      -210.9739      -210.9496
ENERGY:  215000         0.0000         0.0000         0.0000         0.0000          -5563.4477       387.3948         0.0000         0.0000       929.6999          -4246.3530       295.3575     -5176.0528     -4244.3994       298.0753            146.5690       190.7727     22739.2073      -255.1142      -255.0004
ENERGY:  220000         0.0000         0.0000         0.0000         0.0000          -5504.2407       348.1897         0.0000         0.0000       925.1452          -4230.9058       293.9105     -5156.0510     -4229.7234       299.1677           -642.5473      -624.0889     22781.3094      -254.1576      -254.3322
ENERGY:  225000         0.0000         0.0000         0.0000         0.0000          -5583.9509       404.2340         0.0000         0.0000       921.8711          -4257.8457       292.8703     -5179.7168     -4255.5981       295.5058            139.1015       159.6316     22666.6190      -236.2948      -236.2916
ENERGY:  230000         0.0000         0.0000         0.0000         0.0000          -5679.3609       406.8824         0.0000         0.0000       955.2206          -4317.2579       303.4652     -5272.4786     -4313.0815       297.1268            413.8863       436.8509     22358.4887      -207.1913      -207.2050
ENERGY:  235000         0.0000         0.0000         0.0000         0.0000          -5584.7821       386.6250         0.0000         0.0000       920.5117          -4277.6454       292.4385     -5198.1571     -4274.5537       298.6392           -374.4156      -356.1628     22633.8087      -179.4993      -179.4069
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5477.2415       312.2504         0.0000         0.0000       917.5722          -4247.4190       291.5046     -5164.9911     -4246.0343       298.1983           -781.1092      -753.7573     22550.2194      -210.0237      -209.9245
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5619.1393       393.6139         0.0000         0.0000       945.5238          -4280.0016       300.3846     -5225.5254     -4278.2831       300.3349           -610.0505      -579.2621     22831.7939      -183.1700      -183.2784
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5612.7545       374.0061         0.0000         0.0000       940.2129          -4298.5354       298.6974     -5238.7484     -4296.1095       297.7447           -423.9661      -395.5316     22695.4509      -310.6078      -310.4802
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5667.2807       396.0627         0.0000         0.0000       965.1496          -4306.0684       306.6196     -5271.2181     -4304.7988       296.3892           -372.4830      -356.5441     22602.5933      -138.7068      -138.6226
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5625.0659       375.4248         0.0000         0.0000       957.2193          -4292.4218       304.1002     -5249.6411     -4290.0389       298.6247           -495.1724      -472.0499     22648.8001      -213.7621      -213.8098
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5564.3618       395.0703         0.0000         0.0000       961.0627          -4208.2289       305.3212     -5169.2915     -4204.5745       296.0262           -307.1110      -288.0610     23042.3959      -275.5925      -275.5945
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5506.7560       356.0228         0.0000         0.0000       939.7405          -4210.9927       298.5473     -5150.7332     -4209.0582       302.1480           -677.1570      -649.0009     23034.2014      -269.3234      -269.2954
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5512.1739       369.6084         0.0000         0.0000       891.7348          -4250.8306       283.2963     -5142.5655     -4250.0702       302.7971           -338.5034      -308.9065     22634.8665      -268.5379      -268.6773
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5619.0373       413.0274         0.0000         0.0000       964.3849          -4241.6249       306.3766     -5206.0098     -4240.9663       302.7067            350.0619       355.6836     22458.0923      -281.0237      -280.8553
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5536.3180       378.7351         0.0000         0.0000       931.6828          -4225.9001       295.9875     -5157.5829     -4223.9816       299.5853           -466.0286      -429.8571     22925.1829      -211.9520      -211.9130
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5609.0017       399.6387         0.0000         0.0000       913.0655          -4296.2975       290.0729     -5209.3630     -4294.5817       301.4005           -263.4076      -239.8767     22692.4354      -193.4708      -193.4656
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5636.5936       437.3218         0.0000         0.0000       962.2242          -4237.0477       305.6902     -5199.2719     -4235.1220       298.5589            466.6902       486.0879     22548.5442      -239.2592      -239.3474
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5578.7302       377.6554         0.0000         0.0000       940.2306          -4260.8442       298.7030     -5201.0748     -4258.7730       297.4911           -423.6523      -417.0571     22723.9246      -200.4879      -200.3935
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5536.3368       346.0090         0.0000         0.0000       899.4425          -4290.8854       285.7450     -5190.3278     -4288.1035       303.6797           -497.7814      -474.8119     22447.8482      -262.7203      -262.9734
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5616.4350       389.9136         0.0000         0.0000       972.0362          -4254.4853       308.8074     -5226.5215     -4251.9149       299.2378           -481.6954      -458.5483     22867.1789      -169.3705      -169.3159
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5540.7520       417.2665         0.0000         0.0000       925.7016          -4197.7839       294.0873     -5123.4855     -4195.2714       300.4008            352.8081       372.0828     22938.6234      -244.3650      -244.3515
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5516.3319       316.5763         0.0000         0.0000       951.9342          -4247.8214       302.4211     -5199.7556     -4245.5048       299.8775          -1270.7393     -1255.9143     22769.9550      -250.8411      -250.8626
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5689.9533       447.6552         0.0000         0.0000       952.3718          -4289.9263       302.5601     -5242.2981     -4286.9986       296.9472            892.6991       906.3698     22454.6824      -239.9899      -239.9841
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5628.8710       399.3563         0.0000         0.0000       940.0077          -4289.5070       298.6322     -5229.5147     -4288.4440       295.6050            229.9178       251.1350     22488.3022      -194.8802      -194.8681
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5493.8166       335.0403         0.0000         0.0000       914.1617          -4244.6147       290.4211     -5158.7763     -4242.1198       299.7831          -1183.4963     -1150.8341     23298.5773      -188.2045      -188.1523
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5586.6444       384.2209         0.0000         0.0000       902.9211          -4299.5024       286.8501     -5202.4234     -4297.7571       298.1230           -495.5080      -471.2445     22751.9873      -195.4731      -195.4483
