# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 4
80 0 4
90 0 6
100 0 6
110 0 6
120 0 6
130 0 8
140 0 12
150 0 16
160 0 20
170 0 24
180 0 27
190 0 30
200 0 33
210 0 35
220 0 41
230 0 45
240 0 48
250 0 54
260 0 56
270 0 57
280 0 61
290 0 62
300 0 63
310 0 65
320 0 68
330 0 70
340 0 70
350 0 72
360 0 77
370 0 79
380 0 82
390 0 87
400 0 89
410 0 92
420 0 96
430 0 100
440 0 101
450 0 103
460 0 105
470 0 107
480 0 109
490 0 110
500 0 114
510 0 115
520 0 117
530 0 120
540 0 122
550 0 123
560 0 127
570 0 131
580 0 133
590 0 139
600 0 142
